Year,Month_Num,Region,Model,Fuel_Type,Units_Sold,Revenue
2018,1,Middle East & Africa,M5,ICE,7529,271580648.61
2018,1,Middle East & Africa,Z4,Hybrid,5872,254991499.74
2018,1,Middle East & Africa,2 Series,ICE,2377,178598310.08
2018,1,Middle East & Africa,4 Series,ICE,2403,127697548.39
2018,1,Middle East & Africa,1 Series,Hybrid,5891,872711182.83
2018,1,Latin America,3 Series,Hybrid,4119,531214972.24
2018,1,Latin America,5 Series,ICE,5228,710927493.88
2018,1,Latin America,7 Series,ICE,6869,677425716.76
2018,1,Latin America,X3,ICE,4980,370667540.82
2018,1,Latin America,X5,Hybrid,6956,634256169.81
2018,1,Latin America,X7,EV,6429,693963691.85
2018,1,Latin America,i4,Hybrid,732,90532816.19
2018,1,Latin America,iX,Hybrid,2376,203887135.26
2018,1,Latin America,i7,Hybrid,4344,189628822.74
2018,1,Latin America,M3,EV,7071,276781820.89
2018,1,Latin America,M5,ICE,4495,223204775.05
2018,1,Latin America,Z4,ICE,8885,1304340838.69
2018,1,Latin America,2 Series,ICE,3132,199495621.47
2018,1,Latin America,4 Series,ICE,7013,950906437.97
2018,1,Latin America,1 Series,EV,5950,844521084.99
2018,2,Europe,3 Series,EV,7709,1051221315.0
2018,2,Europe,5 Series,ICE,7364,920311828.13
2018,2,Europe,7 Series,ICE,6640,851488178.14
2018,2,Europe,X3,ICE,7369,582094244.69
2018,2,Europe,X5,ICE,3992,514598578.9
2018,2,Europe,X7,ICE,3288,444544666.32
2018,2,Europe,i4,ICE,5362,390086166.97
2018,2,Europe,iX,EV,6382,694172692.42
2018,2,Europe,i7,ICE,7491,1071304923.09
2018,2,Europe,M3,ICE,2384,347328408.01
2018,2,Europe,M5,ICE,1428,106748737.48
2018,2,Europe,Z4,Hybrid,4203,394298778.78
2018,2,Europe,2 Series,ICE,4737,189974786.17
2018,2,Europe,4 Series,ICE,5366,520083342.89
2018,2,Europe,1 Series,Hybrid,7045,406207935.72
2018,2,North America,3 Series,ICE,6690,713574614.64
2018,2,North America,5 Series,Hybrid,1620,112650038.57
2018,2,North America,7 Series,ICE,3644,419712158.05
2018,2,North America,X3,ICE,2021,289289622.53
2018,2,North America,X5,Hybrid,7122,715384276.89
2018,2,North America,X7,ICE,6230,423609332.45
2018,2,North America,i4,ICE,5419,390485886.23
2018,2,North America,iX,ICE,5515,493131508.76
2018,2,North America,i7,EV,7518,832752588.6
2018,2,North America,M3,ICE,6174,454077013.22
2018,2,North America,M5,Hybrid,6123,432885313.69
2018,2,North America,Z4,Hybrid,1463,92398533.83
2018,2,North America,2 Series,ICE,8061,704312619.33
2018,2,North America,4 Series,EV,4736,545022378.99
2018,2,North America,1 Series,ICE,2233,254732997.57
2018,2,China,3 Series,EV,8159,385574261.56
2018,2,China,5 Series,ICE,2116,243403171.67
2018,2,China,7 Series,ICE,4684,620904856.86
2018,2,China,X3,ICE,6990,671600366.45
2018,2,China,X5,ICE,3517,483636672.82
2018,2,China,X7,Hybrid,7143,600549061.02
2018,2,China,i4,EV,4646,559937666.19
2018,2,China,iX,ICE,2821,371199118.76
2018,2,China,i7,ICE,6913,740216873.66
2018,2,China,M3,ICE,1206,74731914.33
2018,2,China,M5,ICE,7909,402671052.04
2018,2,China,Z4,ICE,5539,330149773.42
2018,2,China,2 Series,ICE,3251,269228434.03
2018,2,China,4 Series,ICE,3810,470636017.64
2018,2,China,1 Series,EV,730,89821664.67
2018,2,Asia Pacific,3 Series,ICE,620,42991082.11
2018,2,Asia Pacific,5 Series,ICE,8865,737456722.11
2018,2,Asia Pacific,7 Series,Hybrid,5420,749305812.83
2018,2,Asia Pacific,X3,ICE,2682,102822125.22
2018,2,Asia Pacific,X5,ICE,6605,781245069.91
2018,2,Asia Pacific,X7,Hybrid,1767,170381592.14
2018,2,Asia Pacific,i4,EV,5451,207774324.28
2018,2,Asia Pacific,iX,Hybrid,1788,99947122.43
2018,2,Asia Pacific,i7,ICE,2905,210866012.27
2018,2,Asia Pacific,M3,Hybrid,3365,485867214.28
2018,2,Asia Pacific,M5,ICE,6418,238936222.67
2018,2,Asia Pacific,Z4,ICE,3087,132404864.6
2018,2,Asia Pacific,2 Series,EV,892,128631171.54
2018,2,Asia Pacific,4 Series,ICE,690,43078541.14
2018,2,Asia Pacific,1 Series,ICE,1464,87936510.11
2018,2,Middle East & Africa,3 Series,Hybrid,6515,681974952.58
2018,2,Middle East & Africa,5 Series,EV,5645,729444839.83
2018,2,Middle East & Africa,7 Series,EV,1417,200961808.53
2018,2,Middle East & Africa,X3,ICE,9029,727875189.53
2018,2,Middle East & Africa,X5,Hybrid,1153,150484645.78
2018,2,Middle East & Africa,X7,ICE,6718,892041047.72
2018,2,Middle East & Africa,i4,Hybrid,1623,162433481.8
2018,2,Middle East & Africa,iX,ICE,4759,369372881.99
2018,2,Middle East & Africa,i7,ICE,2813,234341902.37
2018,2,Middle East & Africa,M3,ICE,4610,498305444.0
2018,2,Middle East & Africa,M5,Hybrid,5638,311531921.46
2018,2,Middle East & Africa,Z4,ICE,5426,694218230.54
2018,2,Middle East & Africa,2 Series,ICE,4413,573511180.03
2018,2,Middle East & Africa,4 Series,ICE,3471,453083747.16
2018,2,Middle East & Africa,1 Series,ICE,7608,922886708.5
2018,2,Latin America,3 Series,ICE,5756,220457676.52
2018,2,Latin America,5 Series,EV,1981,150169449.67
2018,2,Latin America,7 Series,ICE,3108,359397096.04
2018,2,Latin America,X3,ICE,585,33328320.89
2018,2,Latin America,X5,ICE,3815,466150787.6
2018,2,Latin America,X7,Hybrid,6159,533000310.85
2018,2,Latin America,i4,ICE,2666,305405023.94
2018,2,Latin America,iX,ICE,5057,498869964.35
2018,2,Latin America,i7,ICE,6709,506249135.42
2018,2,Latin America,M3,ICE,2786,136166938.92
2018,2,Latin America,M5,ICE,1586,228940558.24
2018,2,Latin America,Z4,Hybrid,1892,171571928.61
2018,2,Latin America,2 Series,Hybrid,6776,457683909.54
2018,2,Latin America,4 Series,ICE,1962,150095595.63
2018,2,Latin America,1 Series,ICE,6364,423497487.62
2018,3,Europe,3 Series,EV,4719,677508272.61
2018,3,Europe,5 Series,Hybrid,6647,899756329.03
2018,3,Europe,7 Series,ICE,4317,320240163.75
2018,3,Europe,X3,EV,2907,261452255.95
2018,3,Europe,X5,Hybrid,3772,382320237.25
2018,3,Europe,X7,Hybrid,1558,155373970.61
2018,3,Europe,i4,ICE,2243,275689364.5
2018,3,Europe,iX,Hybrid,7224,897255165.04
2018,3,Europe,i7,ICE,7805,1045239095.08
2018,3,Europe,M3,EV,3062,128378897.08
2018,3,Europe,M5,EV,1488,87636666.44
2018,3,Europe,Z4,ICE,5167,323374087.9
2018,3,Europe,2 Series,ICE,1516,131600815.86
2018,3,Europe,4 Series,ICE,2480,168967514.51
2018,3,Europe,1 Series,ICE,7437,848184389.82
2018,3,North America,3 Series,EV,7560,777363068.86
2018,3,North America,5 Series,Hybrid,2072,202278323.6
2018,3,North America,7 Series,Hybrid,7382,379118649.8
2018,3,North America,X3,ICE,6589,798126479.53
2018,3,North America,X5,ICE,2811,249898649.36
2018,3,North America,X7,ICE,4301,398076045.89
2018,3,North America,i4,ICE,1192,163642089.66
2018,3,North America,iX,Hybrid,5037,229196555.72
2018,3,North America,i7,EV,8142,834710814.65
2018,3,North America,M3,ICE,7113,469413671.69
2018,3,North America,M5,ICE,6042,572061645.63
2018,3,North America,Z4,ICE,2512,257010022.15
2018,3,North America,2 Series,Hybrid,5165,459949424.35
2018,3,North America,4 Series,ICE,3289,439539676.96
2018,3,North America,1 Series,ICE,6173,686419739.99
2018,3,China,3 Series,ICE,6831,596380314.89
2018,3,China,5 Series,ICE,2785,344902787.01
2018,3,China,7 Series,EV,8319,920338826.84
2018,3,China,X3,ICE,3365,318398083.9
2018,3,China,X5,Hybrid,4755,582006824.88
2018,3,China,X7,ICE,4445,302808298.19
2018,3,China,i4,EV,3962,582064883.69
2018,3,China,iX,Hybrid,2614,184904599.1
2018,3,China,i7,ICE,3373,502946583.09
2018,3,China,M3,EV,4854,531448025.38
2018,3,China,M5,ICE,5972,693482599.2
2018,3,China,Z4,ICE,5093,321006973.03
2018,3,China,2 Series,ICE,3303,343275583.97
2018,3,China,4 Series,Hybrid,1794,119782601.68
2018,3,China,1 Series,Hybrid,3711,466055218.67
2018,3,Asia Pacific,3 Series,ICE,487,33765620.37
2018,3,Asia Pacific,5 Series,ICE,5887,306644841.22
2018,3,Asia Pacific,7 Series,ICE,3159,387705200.69
2018,3,Asia Pacific,X3,ICE,3483,514749374.71
2018,3,Asia Pacific,X5,ICE,3346,415531758.57
2018,3,Asia Pacific,X7,ICE,6546,916731096.03
2018,3,Asia Pacific,i4,ICE,6456,710044987.4
2018,3,Asia Pacific,iX,ICE,712,103963151.96
2018,3,Asia Pacific,i7,ICE,1470,125883764.76
2018,3,Asia Pacific,M3,ICE,3626,187021366.9
2018,3,Asia Pacific,M5,EV,1538,192058378.27
2018,3,Asia Pacific,Z4,ICE,5929,650596374.01
2018,3,Asia Pacific,2 Series,EV,7873,758693973.53
2018,3,Asia Pacific,4 Series,EV,6003,734354242.06
2018,3,Asia Pacific,1 Series,EV,821,50900832.5
2018,3,Middle East & Africa,3 Series,Hybrid,3279,396359395.4
2018,3,Middle East & Africa,5 Series,ICE,1408,163254003.08
2018,3,Middle East & Africa,7 Series,ICE,1970,273620721.26
2018,3,Middle East & Africa,X3,ICE,6086,463894908.64
2018,3,Middle East & Africa,X5,ICE,2523,252506197.52
2018,3,Middle East & Africa,X7,Hybrid,1707,179391285.23
2018,3,Middle East & Africa,i4,ICE,5622,786941343.73
2018,3,Middle East & Africa,iX,ICE,4453,391198754.78
2018,3,Middle East & Africa,i7,Hybrid,8581,1189661977.35
2018,3,Middle East & Africa,M3,Hybrid,1564,224750081.3
2018,3,Middle East & Africa,M5,EV,3072,257419861.78
2018,3,Middle East & Africa,Z4,ICE,6983,1046946944.91
2018,3,Middle East & Africa,2 Series,EV,1264,127374682.56
2018,3,Middle East & Africa,4 Series,ICE,5845,861924833.92
2018,3,Middle East & Africa,1 Series,Hybrid,2342,314958602.22
2018,3,Latin America,3 Series,Hybrid,1011,122022440.5
2018,3,Latin America,5 Series,Hybrid,7389,937434403.65
2018,3,Latin America,7 Series,Hybrid,3100,176282054.18
2018,3,Latin America,X3,ICE,7132,790267515.74
2018,3,Latin America,X5,Hybrid,4963,531823577.75
2018,3,Latin America,X7,ICE,6836,694886151.35
2018,3,Latin America,i4,Hybrid,1390,100876052.25
2018,3,Latin America,iX,ICE,1907,185039818.58
2018,3,Latin America,i7,EV,4850,321752129.86
2018,3,Latin America,M3,ICE,8764,792375153.82
2018,3,Latin America,M5,Hybrid,7350,937027553.26
2018,3,Latin America,Z4,ICE,995,145416786.47
2018,3,Latin America,2 Series,EV,6768,546193314.95
2018,3,Latin America,4 Series,Hybrid,4861,612138080.67
2018,3,Latin America,1 Series,ICE,4342,336015876.92
2018,4,Europe,3 Series,Hybrid,2714,351674663.89
2018,4,Europe,5 Series,EV,1459,130171746.29
2018,4,Europe,7 Series,Hybrid,4835,508445952.95
2018,4,Europe,X3,Hybrid,6259,873628581.33
2018,4,Europe,X5,ICE,3401,136770817.99
2018,4,Europe,X7,ICE,4012,248752038.96
2018,4,Europe,i4,ICE,3631,407056577.97
2018,4,Europe,iX,Hybrid,4805,578334300.83
2018,4,Europe,i7,ICE,4079,533837919.98
2018,4,Europe,M3,Hybrid,2399,186188657.67
2018,4,Europe,M5,ICE,2693,125024630.47
2018,4,Europe,Z4,Hybrid,5557,606574796.91
2018,4,Europe,2 Series,ICE,2503,122768064.34
2018,4,Europe,4 Series,Hybrid,3707,220166769.64
2018,4,Europe,1 Series,Hybrid,583,42765121.39
2018,4,North America,3 Series,EV,7080,303662386.43
2018,4,North America,5 Series,Hybrid,2253,289512962.14
2018,4,North America,7 Series,ICE,6119,847855181.81
2018,4,North America,X3,ICE,8625,1281378645.02
2018,4,North America,X5,ICE,6353,705320408.39
2018,4,North America,X7,ICE,594,74647758.12
2018,4,North America,i4,ICE,567,23261677.96
2018,4,North America,iX,Hybrid,4251,179856300.32
2018,4,North America,i7,ICE,3478,165348332.38
2018,4,North America,M3,ICE,4779,597714808.59
2018,4,North America,M5,EV,4487,489012009.75
2018,4,North America,Z4,ICE,4883,410276819.54
2018,4,North America,2 Series,ICE,7113,309070038.04
2018,4,North America,4 Series,ICE,4904,242807008.14
2018,4,North America,1 Series,Hybrid,5371,388840666.85
2018,4,China,3 Series,EV,4547,423500184.6
2018,4,China,5 Series,ICE,7420,987388042.73
2018,4,China,7 Series,Hybrid,6903,928671747.36
2018,4,China,X3,ICE,7141,528270729.36
2018,4,China,X5,ICE,4176,296258219.6
2018,4,China,X7,ICE,2490,130858156.11
2018,4,China,i4,EV,920,41231549.01
2018,4,China,iX,ICE,7071,907587370.86
2018,4,China,i7,ICE,6030,600549340.95
2018,4,China,M3,Hybrid,3695,412044820.46
2018,4,China,M5,Hybrid,8560,350243521.12
2018,4,China,Z4,ICE,2922,296467959.73
2018,4,China,2 Series,ICE,5847,774356844.26
2018,4,China,4 Series,ICE,4855,595706789.45
2018,4,China,1 Series,ICE,6960,692596947.68
2018,4,Asia Pacific,3 Series,Hybrid,5783,629828865.41
2018,4,Asia Pacific,5 Series,ICE,6469,425378723.41
2018,4,Asia Pacific,7 Series,ICE,6748,951311547.07
2018,4,Asia Pacific,X3,ICE,2206,220879998.53
2018,4,Asia Pacific,X5,ICE,1782,261523088.62
2018,4,Asia Pacific,X7,ICE,4430,368933663.95
2018,4,Asia Pacific,i4,ICE,3331,240844732.55
2018,4,Asia Pacific,iX,EV,4713,193468720.88
2018,4,Asia Pacific,i7,ICE,4809,213432440.08
2018,4,Asia Pacific,M3,ICE,3955,339477747.21
2018,4,Asia Pacific,M5,ICE,6708,501053244.18
2018,4,Asia Pacific,Z4,ICE,6379,580251488.38
2018,4,Asia Pacific,2 Series,Hybrid,798,118272578.06
2018,4,Asia Pacific,4 Series,ICE,2044,121192659.16
2018,4,Asia Pacific,1 Series,ICE,2429,118530826.65
2018,4,Middle East & Africa,3 Series,ICE,3635,286161217.5
2018,4,Middle East & Africa,5 Series,Hybrid,4679,523231700.49
2018,4,Middle East & Africa,7 Series,ICE,4159,165797537.17
2018,4,Middle East & Africa,X3,ICE,1260,127527502.39
2018,4,Middle East & Africa,X5,ICE,6577,449171273.32
2018,4,Middle East & Africa,X7,ICE,2848,410042638.59
2018,4,Middle East & Africa,i4,ICE,6923,312469164.35
2018,4,Middle East & Africa,iX,Hybrid,2444,198090425.37
2018,4,Middle East & Africa,i7,ICE,7196,532820820.68
2018,4,Middle East & Africa,M3,ICE,1638,176610530.52
2018,4,Middle East & Africa,M5,ICE,2342,176067240.25
2018,4,Middle East & Africa,Z4,Hybrid,7522,391026138.83
2018,4,Middle East & Africa,2 Series,ICE,2360,246091084.6
2018,4,Middle East & Africa,4 Series,Hybrid,5121,739465210.97
2018,4,Middle East & Africa,1 Series,Hybrid,4628,566401816.56
2018,4,Latin America,3 Series,ICE,7874,850858980.89
2018,4,Latin America,5 Series,Hybrid,8649,617157809.32
2018,4,Latin America,7 Series,ICE,4265,297800852.92
2018,4,Latin America,X3,ICE,917,39918775.65
2018,4,Latin America,X5,ICE,700,91451578.85
2018,4,Latin America,X7,ICE,8664,393207824.74
2018,4,Latin America,i4,ICE,3608,356276948.8
2018,4,Latin America,iX,Hybrid,6759,943155895.5
2018,4,Latin America,i7,ICE,1932,173295257.43
2018,4,Latin America,M3,ICE,991,127106832.65
2018,4,Latin America,M5,Hybrid,5559,607624357.46
2018,4,Latin America,Z4,ICE,6178,528426000.39
2018,4,Latin America,2 Series,ICE,1726,242611273.27
2018,4,Latin America,4 Series,ICE,6512,675664764.62
2018,4,Latin America,1 Series,Hybrid,5514,402050204.73
2018,5,Europe,3 Series,ICE,3428,405290281.48
2018,5,Europe,5 Series,Hybrid,8168,427128673.74
2018,5,Europe,7 Series,ICE,5297,398490081.83
2018,5,Europe,X3,EV,6523,325037441.69
2018,5,Europe,X5,Hybrid,1125,88107885.22
2018,5,Europe,X7,Hybrid,6361,736766325.44
2018,5,Europe,i4,EV,6870,314282515.05
2018,5,Europe,iX,Hybrid,4471,342920030.47
2018,5,Europe,i7,ICE,2146,264189690.49
2018,5,Europe,M3,ICE,1457,100556445.59
2018,5,Europe,M5,Hybrid,5036,659911296.4
2018,5,Europe,Z4,EV,848,115145823.18
2018,5,Europe,2 Series,Hybrid,5192,278594565.39
2018,5,Europe,4 Series,Hybrid,7071,981493252.18
2018,5,Europe,1 Series,Hybrid,834,94059967.87
2018,5,North America,3 Series,ICE,4275,519519306.55
2018,5,North America,5 Series,Hybrid,2440,172236691.78
2018,5,North America,7 Series,Hybrid,4868,278994135.77
2018,5,North America,X3,Hybrid,5923,521776008.92
2018,5,North America,X5,ICE,3631,301903108.11
2018,5,North America,X7,ICE,2327,118481139.85
2018,5,North America,i4,ICE,5718,444227944.94
2018,5,North America,iX,EV,6983,927929639.08
2018,5,North America,i7,ICE,6063,525490579.81
2018,5,North America,M3,ICE,7169,1031171218.49
2018,5,North America,M5,ICE,4679,664437986.91
2018,5,North America,Z4,ICE,3749,232867179.88
2018,5,North America,2 Series,EV,3275,234649691.22
2018,5,North America,4 Series,ICE,6639,836572246.01
2018,5,North America,1 Series,ICE,3206,286399409.27
2018,5,China,3 Series,Hybrid,7130,617380778.59
2018,5,China,5 Series,ICE,983,58783690.59
2018,5,China,7 Series,ICE,6667,557856539.96
2018,5,China,X3,Hybrid,2300,93129728.63
2018,5,China,X5,ICE,7261,306579913.2
2018,5,China,X7,Hybrid,4727,174379339.64
2018,5,China,i4,ICE,2643,181035664.32
2018,5,China,iX,ICE,3126,259161884.8
2018,5,China,i7,Hybrid,1209,92451543.45
2018,5,China,M3,EV,4967,738384886.23
2018,5,China,M5,ICE,4112,164506558.97
2018,5,China,Z4,ICE,3295,121479587.42
2018,5,China,2 Series,Hybrid,3065,338887873.39
2018,5,China,4 Series,ICE,5637,412851850.47
2018,5,China,1 Series,ICE,4731,515307596.93
2018,5,Asia Pacific,3 Series,Hybrid,6043,694762283.73
2018,5,Asia Pacific,5 Series,Hybrid,6364,746784735.85
2018,5,Asia Pacific,7 Series,EV,752,30108366.72
2018,5,Asia Pacific,X3,ICE,796,56244346.32
2018,5,Asia Pacific,X5,ICE,7271,466297104.48
2018,5,Asia Pacific,X7,Hybrid,1932,259169938.7
2018,5,Asia Pacific,i4,ICE,5574,274879725.03
2018,5,Asia Pacific,iX,ICE,7552,646222471.64
2018,5,Asia Pacific,i7,EV,3742,344501134.48
2018,5,Asia Pacific,M3,ICE,7071,898950584.49
2018,5,Asia Pacific,M5,Hybrid,1122,167667516.21
2018,5,Asia Pacific,Z4,ICE,2750,121571793.13
2018,5,Asia Pacific,2 Series,Hybrid,2961,348009986.25
2018,5,Asia Pacific,4 Series,ICE,3951,157529703.57
2018,5,Asia Pacific,1 Series,EV,3504,297903625.53
2018,5,Middle East & Africa,3 Series,Hybrid,7921,345591122.81
2018,5,Middle East & Africa,5 Series,Hybrid,3489,423000317.72
2018,5,Middle East & Africa,7 Series,ICE,674,70682975.74
2018,5,Middle East & Africa,X3,Hybrid,696,43249070.25
2018,5,Middle East & Africa,X5,Hybrid,3344,335179599.42
2018,5,Middle East & Africa,X7,Hybrid,5970,463635682.66
2018,5,Middle East & Africa,i4,ICE,1154,110654620.88
2018,5,Middle East & Africa,iX,ICE,5434,790428585.86
2018,5,Middle East & Africa,i7,ICE,2023,160835679.03
2018,5,Middle East & Africa,M3,ICE,2862,331889964.8
2018,5,Middle East & Africa,M5,ICE,5157,724017399.7
2018,5,Middle East & Africa,Z4,ICE,1339,58267903.25
2018,5,Middle East & Africa,2 Series,ICE,6238,281308443.95
2018,5,Middle East & Africa,4 Series,Hybrid,8509,951319609.39
2018,5,Middle East & Africa,1 Series,Hybrid,5068,696865931.11
2018,5,Latin America,3 Series,EV,6729,777369167.94
2018,5,Latin America,5 Series,ICE,3470,169879687.7
2018,5,Latin America,7 Series,ICE,1507,138361471.87
2018,5,Latin America,X3,ICE,4983,634939333.94
2018,5,Latin America,X5,ICE,6148,261665225.39
2018,5,Latin America,X7,ICE,6791,648234907.07
2018,5,Latin America,i4,Hybrid,7406,365949567.18
2018,5,Latin America,iX,ICE,1090,123401661.98
2018,5,Latin America,i7,ICE,8451,831577521.22
2018,5,Latin America,M3,ICE,7738,655804034.59
2018,5,Latin America,M5,EV,1047,99027087.31
2018,5,Latin America,Z4,ICE,1728,201438481.38
2018,5,Latin America,2 Series,ICE,5312,702683982.42
2018,5,Latin America,4 Series,ICE,6482,431454033.69
2018,5,Latin America,1 Series,Hybrid,5588,518543554.27
2018,6,Europe,3 Series,ICE,4710,521652660.87
2018,6,Europe,5 Series,Hybrid,5191,733238708.47
2018,6,Europe,7 Series,ICE,6504,261643610.39
2018,6,Europe,X3,Hybrid,4855,287624588.6
2018,6,Europe,X5,ICE,5794,534637739.85
2018,6,Europe,X7,Hybrid,2994,208804024.03
2018,6,Europe,i4,ICE,7507,519521148.37
2018,6,Europe,iX,ICE,888,73523292.72
2018,6,Europe,i7,ICE,3391,240581234.32
2018,6,Europe,M3,Hybrid,7467,557916427.33
2018,6,Europe,M5,ICE,6469,644246997.19
2018,6,Europe,Z4,ICE,3831,332161267.02
2018,6,Europe,2 Series,ICE,856,67775709.61
2018,6,Europe,4 Series,Hybrid,2884,400200408.91
2018,6,Europe,1 Series,Hybrid,5579,317059711.83
2018,6,North America,3 Series,ICE,4669,635421491.44
2018,6,North America,5 Series,ICE,1402,130562810.77
2018,6,North America,7 Series,EV,2318,94100798.5
2018,6,North America,X3,ICE,6012,662762304.3
2018,6,North America,X5,ICE,4173,197642313.3
2018,6,North America,X7,ICE,2847,349735523.87
2018,6,North America,i4,ICE,3271,325820841.09
2018,6,North America,iX,ICE,2497,232194496.47
2018,6,North America,i7,Hybrid,3063,326738729.87
2018,6,North America,M3,Hybrid,1775,142530595.36
2018,6,North America,M5,Hybrid,3333,256790094.82
2018,6,North America,Z4,ICE,5449,504081317.1
2018,6,North America,2 Series,ICE,1725,219861726.52
2018,6,North America,4 Series,ICE,1774,167258324.42
2018,6,North America,1 Series,ICE,5221,418670828.87
2018,6,China,3 Series,Hybrid,6956,512538579.31
2018,6,China,5 Series,Hybrid,4845,483222324.92
2018,6,China,7 Series,ICE,610,68617518.43
2018,6,China,X3,EV,4976,688470487.7
2018,6,China,X5,EV,4851,434542269.78
2018,6,China,X7,EV,7891,801130209.89
2018,6,China,i4,ICE,943,51496180.54
2018,6,China,iX,Hybrid,6035,475086598.16
2018,6,China,i7,Hybrid,2134,307389030.96
2018,6,China,M3,ICE,643,53471709.15
2018,6,China,M5,ICE,2111,262021150.85
2018,6,China,Z4,EV,8449,1002484338.4
2018,6,China,2 Series,Hybrid,4332,313553177.06
2018,6,China,4 Series,Hybrid,4626,670857114.99
2018,6,China,1 Series,ICE,4636,351144565.13
2018,6,Asia Pacific,3 Series,Hybrid,6752,860340116.58
2018,6,Asia Pacific,5 Series,ICE,4053,256756336.47
2018,6,Asia Pacific,7 Series,ICE,2652,392389745.22
2018,6,Asia Pacific,X3,Hybrid,5723,664289498.21
2018,6,Asia Pacific,X5,ICE,3417,486805706.14
2018,6,Asia Pacific,X7,Hybrid,2532,285638865.53
2018,6,Asia Pacific,i4,ICE,4088,591860718.86
2018,6,Asia Pacific,iX,Hybrid,2483,359690055.51
2018,6,Asia Pacific,i7,ICE,4315,521873047.02
2018,6,Asia Pacific,M3,ICE,7366,1048165244.07
2018,6,Asia Pacific,M5,Hybrid,1433,172250128.5
2018,6,Asia Pacific,Z4,ICE,961,92323050.24
2018,6,Asia Pacific,2 Series,Hybrid,818,59700721.16
2018,6,Asia Pacific,4 Series,ICE,6573,233971629.43
2018,6,Asia Pacific,1 Series,ICE,1742,248284980.31
